sleep_log_entry_id,day_of_week,wake_up_time,day,month,year,overall_score,revitalization_score,duration_sleep_hours,deep_sleep_in_minutes,resting_heart_rate,restlessness,deep_cycle_thirtyDayAvgMinutes,wake_cycle_thirtyDayAvgMinutes,light_cycle_thirtyDayAvgMinutes,rem_cycle_thirtyDayAvgMinutes,deep_cycle_count,wake_cycle_count,light_cycle_count,rem_cycle_count,deep_cycle_minutes,wake_cycle_minutes,light_cycle_minutes,rem_cycle_minutes,sleep_efficiency,total_calories_kcal,total_move_minutes,heart_points,heart_minutes,avg_heart_rate_bpm,step_count
43856642250,0,09:44:00,18,12,2023,81.0,81.0,7.8,122.0,64.0,0.092890995,101.0,54.0,230.0,95.0,5.0,27.0,28.0,11.0,123.0,68.0,255.0,90.0,87.31343283582089,2616.749645577664,22.0,74.25151215412976,49.59119691448416,71.36587908269631,2529.0
43850311208,6,12:19:30,17,12,2023,89.0,89.0,9.717,150.0,65.0,0.071374906,96.0,52.0,223.0,92.0,8.0,43.0,38.0,14.0,150.0,82.0,301.0,132.0,87.66917293233082,2875.99205319861,89.0,19.0,19.0,72.05455177206393,7575.0
43835680872,5,06:22:00,16,12,2023,67.0,67.0,4.333,73.0,64.0,0.08492201,99.0,54.0,234.0,94.0,3.0,14.0,11.0,6.0,73.0,28.0,120.0,67.0,90.2777777777778,3815.118022309906,133.0,23.0,23.0,82.59659485753996,10503.0
43823373863,4,10:04:00,15,12,2023,82.0,82.0,7.967,117.0,67.0,0.1017415215398716,97.0,53.0,230.0,95.0,6.0,26.0,27.0,10.0,117.0,69.0,269.0,92.0,87.38574040219378,2979.5980915221867,74.0,15.0,15.0,73.05177206393329,6357.0
43810651982,3,10:57:00,14,12,2023,74.0,74.0,7.85,103.0,65.0,0.1090225563909774,96.0,50.0,229.0,89.0,4.0,22.0,23.0,10.0,103.0,70.0,231.0,137.0,87.06099815157117,2693.623371789761,40.0,7.0,7.0,77.34607366226547,3873.0
43805110242,2,12:44:30,13,12,2023,90.0,90.0,8.267,101.0,68.0,0.094850949,95.0,49.0,223.0,83.0,3.0,32.0,31.0,8.0,101.0,58.0,270.0,125.0,89.53068592057761,2909.33404415974,108.0,62.0,62.0,74.99027102154274,10488.0
43792305789,1,10:36:30,12,12,2023,84.0,84.0,7.65,130.0,70.0,0.088068182,88.0,45.0,224.0,77.0,5.0,32.0,27.0,15.0,130.0,69.0,218.0,111.0,86.93181818181817,2535.380185320671,35.0,6.0,6.0,74.70813064628214,3323.0
43767336370,6,10:14:30,10,12,2023,66.0,66.0,6.25,74.0,69.0,0.081081081,91.0,43.0,218.0,82.0,3.0,27.0,26.0,8.0,74.0,53.0,245.0,56.0,87.61682242990653,2445.414854982406,86.0,31.0,31.0,85.42837273991655,8607.0
43758582185,5,08:57:30,9,12,2023,71.0,71.0,6.667,84.0,66.0,0.076490439,94.0,39.0,207.0,88.0,2.0,27.0,26.0,6.0,84.0,54.0,251.0,65.0,88.10572687224669,2674.585709967229,57.0,19.0,19.0,83.43606671299514,5798.0
43745299172,4,09:44:00,8,12,2023,85.0,85.0,8.75,131.0,66.0,0.093344857,75.0,31.0,189.0,57.0,5.0,35.0,29.0,16.0,131.0,54.0,244.0,150.0,90.67357512953367,2575.6958654487667,58.0,18.0,18.0,77.04204308547602,5448.0
